agent_id,port,zone_id,prob,route_nm,policy_reward,estimated_reference_fuel_l
0,Malabrigo,6,0.8995693325996399,154.0549820213849,0.8196297738022301,2581.961498678411
1,Malabrigo,6,0.8995693325996399,154.0549820213849,0.7196297738022301,2581.961498678411
2,Malabrigo,6,0.8995693325996399,154.0549820213849,0.61962977380223,2581.961498678411
3,Malabrigo,1,0.9368861317634583,22.90568681387734,0.9250003071453435,383.8993110005843
4,Malabrigo,1,0.9368861317634583,22.90568681387734,0.8250003071453436,383.8993110005843
5,Chimbote,1,0.9368861317634583,75.78855624633061,0.6975592390610637,1270.2162026885012
6,Chimbote,2,0.9172602295875549,23.448464186518695,0.9050927562806095,392.99625976605336
7,Chimbote,2,0.9172602295875549,23.448464186518695,0.8050927562806095,392.99625976605336
8,Chimbote,2,0.9172602295875549,23.448464186518695,0.7050927562806095,392.99625976605336
9,Chimbote,7,0.8786989450454712,331.60660725950663,0.7066273539108776,5557.726737669332
10,Callao,7,0.8786989450454712,112.25656013028785,0.7204487036629209,1881.4199477836246
11,Callao,7,0.8786989450454712,112.25656013028785,0.6204487036629209,1881.4199477836246
12,Callao,0,1.0,270.8961389894558,0.8594312397652103,4540.219289463279
13,Callao,0,1.0,270.8961389894558,0.7594312397652103,4540.219289463279
14,Callao,0,1.0,270.8961389894558,0.628593420194199,4540.219289463279
